hostname,n_planets,avg_pl_rade,avg_pl_bmasse,avg_orbper,sy_dist,st_teff
TOI-2458,2,3.005,11.765,10.144795,112.958,6005.0
Kepler-388,2,0.835,0.5115,8.2351595,425.0,4498.0
Kepler-1834,2,1.3396917,2.355,2.6848508475,500.395,4821.0
Kepler-97,2,1.48,173.755,395.79332,400.907,5779.0
K2-348,2,2.965,9.155,8.6192945,201.856,5077.0
K2-188,2,2.09,5.3950000000000005,4.776211,446.821,5977.0
HD 87816,2,12.55,3009.83501429,4040.085,133.233,4989.0
Kepler-1705,2,2.04,4.945,10.157509999999998,1633.49,6312.0
K2-413,2,0.9963,1.2065,3.06975,285.162,4116.0
OGLE-2014-BLG-1722L,2,9.795,69.5,,6400.0,
Kepler-1266,2,2.13011981,5.32,16.67052906,849.312,5044.0
Kepler-123,2,2.21,29.044999999999998,21.963720000000002,1021.66,6089.0
LTT 1445 A,2,1.2435,2.135,4.2413335,6.86929,3562.0
TOI-261,2,3.1966042850000003,10.355,8.201642010675,114.495,5890.3
HD 5278,2,3.47,13.1,27.604577999999997,57.5846,6203.0
Kepler-212,2,1.915,4.635,24.031378,687.194,5852.0
HD 159868,2,13.65,474.52019,767.55,55.8503,5534.0
Kepler-974,2,1.09,5.545,2.185693907,134.311,3687.0
HIP 5158,2,12.899999999999999,2615.5816,4681.74,51.6026,4962.0
Kepler-315,2,3.96,14.9,180.785238,1160.63,5796.0
GJ 1148,2,10.805,82.38,286.98,11.0143,3287.0
TOI-942,2,4.28,26.5,7.240240999999999,152.601,4969.0
TOI-1782,2,2.1035,5.12,3.4083326274999997,95.2649,4336.0
Kepler-534,2,1.7335000000000003,3.835,11.669317448,570.659,5936.0
Kepler-1067,2,1.27341214,2.0685000000000002,3.093984581,667.693,5594.0
Kepler-784,2,1.565,3.0700000000000003,24.374750300000002,1303.72,5676.0
TOI-5398,2,6.91,35.25,7.6816285,130.855,6000.0
HD 113538,2,13.5,204.99,1240.6,16.2817,4462.0
K2-18,2,2.51,8.215,20.9508115,38.0266,3457.0
HD 134987,2,13.7,385.85315,2629.089995,26.1804,5736.0
HD 156279,2,12.5,3048.292251535,2475.828565,36.1945,5453.0
LHS 1140,2,1.501,3.755,14.257585,14.9861,3096.0
Kepler-343,2,2.215,5.5649999999999995,16.095185,927.193,5807.0
HD 219828,2,8.395,2560.7434752,2396.8539,73.114,5891.0
Kepler-1047,2,1.54,2.9785,29.688832355,817.647,5754.0
K2-396,2,2.3515,6.525,13.217186,274.864,5236.0
Kepler-133,2,2.3,6.1,19.823781,653.6,5736.0
NN Ser,2,12.95,1527.1109999999999,4933.5,515.818,57000.0
HD 65216,2,13.5,528.392375,2973.8,35.1205,5612.0
Kepler-322,2,1.3399999999999999,2.22,2.995561,400.48,5388.0
TOI-1836,2,5.301544005,23.228618625,11.07677305,191.649,6380.0
K2-240,2,1.9,4.275,13.2785,72.9105,3810.0
EPIC 212737443,2,2.638,7.45,39.576499999999996,336.25,4684.0
GJ 143,2,1.751,13.2,21.70123,16.32,4640.0
GJ 1132,2,1.310757325,2.238524095,5.278964555,12.613,3270.0
K2-395,2,2.996,9.33,6.647317,286.727,5007.0
HD 105618,2,8.67,4222.5093012,38562.047015000004,70.0837,5671.0
Kepler-269,2,2.08,5.08,6.7273084999999995,2257.32,5847.0
Kepler-400,2,1.5699999999999998,3.0949999999999998,13.1826065,845.97,5886.0
Kepler-210,2,3.2800000000000002,10.88,5.212873500000001,232.75,4559.0
HAT-P-13,2,13.279,2404.4415,224.593125,246.81,5653.0
K2-189,2,1.8565,4.25,4.63372,242.113,5442.0
Kepler-1090,2,2.7713289249999997,8.295,120.55368966,858.77,5330.0
Kepler-193,2,2.5700000000000003,7.15,31.042987,1009.1,6335.0
K2-229,2,1.515,4.775,4.455743,102.564,5315.0
HD 73267,2,12.9,1476.154036315,9164.88602,50.4093,5387.0
UZ For,2,,2224.7,3878.125,239.60387482,5286.9
TOI-1410,2,4.365415045,19.75,24.388435,72.7512,4635.0
HD 104067,2,6.444999999999999,37.65,34.8751,20.3632,4952.0
Kepler-2000,2,2.15,5.495,13.5005969675,320.588,3757.0
GJ 4274,2,2.18,5.680000000000001,35.601949999999995,7.23556,3228.0
